task_id,sweep,family,N,alpha,t,method,variant,j_star,w_small,out_dir,log_file
A_alpha_F0__F0__n1000__a0p1__t10__ours__enum_sampling__B50000000__w512,A_alpha_F0,F0,1000,0.1,10,ours,enum_sampling,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/out/A_alpha_F0/A_alpha_F0__F0__n1000__a0p1__t10__ours__enum_sampling__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/logs/A_alpha_F0__F0__n1000__a0p1__t10__ours__enum_sampling__B50000000__w512.log
A_alpha_F0__F0__n1000__a0p1__t10__ours__sampling__B50000000__w512,A_alpha_F0,F0,1000,0.1,10,ours,sampling,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/out/A_alpha_F0/A_alpha_F0__F0__n1000__a0p1__t10__ours__sampling__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/logs/A_alpha_F0__F0__n1000__a0p1__t10__ours__sampling__B50000000__w512.log
A_alpha_F0__F0__n1000__a0p1__t10__ours__adaptive__B50000000__w512,A_alpha_F0,F0,1000,0.1,10,ours,adaptive,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/out/A_alpha_F0/A_alpha_F0__F0__n1000__a0p1__t10__ours__adaptive__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/logs/A_alpha_F0__F0__n1000__a0p1__t10__ours__adaptive__B50000000__w512.log
A_alpha_F0__F0__n1000__a0p1__t10__range_tree__enum_sampling__B50000000__w512,A_alpha_F0,F0,1000,0.1,10,range_tree,enum_sampling,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/out/A_alpha_F0/A_alpha_F0__F0__n1000__a0p1__t10__range_tree__enum_sampling__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/logs/A_alpha_F0__F0__n1000__a0p1__t10__range_tree__enum_sampling__B50000000__w512.log
A_alpha_F0__F0__n1000__a0p1__t10__range_tree__sampling__B50000000__w512,A_alpha_F0,F0,1000,0.1,10,range_tree,sampling,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/out/A_alpha_F0/A_alpha_F0__F0__n1000__a0p1__t10__range_tree__sampling__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/logs/A_alpha_F0__F0__n1000__a0p1__t10__range_tree__sampling__B50000000__w512.log
A_alpha_F0__F0__n1000__a0p1__t10__range_tree__adaptive__B50000000__w512,A_alpha_F0,F0,1000,0.1,10,range_tree,adaptive,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/out/A_alpha_F0/A_alpha_F0__F0__n1000__a0p1__t10__range_tree__adaptive__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/logs/A_alpha_F0__F0__n1000__a0p1__t10__range_tree__adaptive__B50000000__w512.log
A_alpha_F0__F0__n1000__a0p1__t10__kd_tree__sampling__B50000000__w512,A_alpha_F0,F0,1000,0.1,10,kd_tree,sampling,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/out/A_alpha_F0/A_alpha_F0__F0__n1000__a0p1__t10__kd_tree__sampling__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/logs/A_alpha_F0__F0__n1000__a0p1__t10__kd_tree__sampling__B50000000__w512.log
A_alpha_F1__F1__n1000__a0p1__t10__ours__enum_sampling__B50000000__w512,A_alpha_F1,F1,1000,0.1,10,ours,enum_sampling,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/out/A_alpha_F1/A_alpha_F1__F1__n1000__a0p1__t10__ours__enum_sampling__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/logs/A_alpha_F1__F1__n1000__a0p1__t10__ours__enum_sampling__B50000000__w512.log
A_alpha_F1__F1__n1000__a0p1__t10__ours__sampling__B50000000__w512,A_alpha_F1,F1,1000,0.1,10,ours,sampling,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/out/A_alpha_F1/A_alpha_F1__F1__n1000__a0p1__t10__ours__sampling__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/logs/A_alpha_F1__F1__n1000__a0p1__t10__ours__sampling__B50000000__w512.log
A_alpha_F1__F1__n1000__a0p1__t10__ours__adaptive__B50000000__w512,A_alpha_F1,F1,1000,0.1,10,ours,adaptive,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/out/A_alpha_F1/A_alpha_F1__F1__n1000__a0p1__t10__ours__adaptive__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_smoke_fix/logs/A_alpha_F1__F1__n1000__a0p1__t10__ours__adaptive__B50000000__w512.log
